date,clock,class,attendance,Home Team,Goals Home,Away Team,Away Goals,home_possessions,away_possessions,home_shots,away_shots,home_on,away_on,home_off,away_off,home_blocked,away_blocked,home_pass,away_pass,home_chances,away_chances,home_corners,away_corners,home_offside,away_offside,home_tackles,away_tackles,home_duels,away_duels,home_saves,away_saves,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,links,stadium_Amex Stadium,stadium_Anfield,stadium_Bramall Lane,stadium_Carrow Road,stadium_Craven Cottage,stadium_Elland Road,stadium_Emirates Stadium,stadium_Etihad Stadium,stadium_Goodison Park,stadium_Gtech Community Stadium,stadium_London Stadium,stadium_Molineux,stadium_Old Trafford,stadium_Selhurst Park,"stadium_St James' Park, Newcastle",stadium_St. Mary's Stadium,stadium_Stamford Bridge,stadium_The City Ground,stadium_The Hawthorns,stadium_The King Power Stadium,stadium_Tottenham Hotspur Stadium,stadium_Turf Moor,stadium_Vicarage Road,stadium_Villa Park,stadium_Vitality Stadium,goal_diff,total_goals
28th May 2023,4:30pm,h,"60,095",1,2.573763124889355,12,-1.0465844207729162,0.014215529622410664,-0.015973905422309954,0.07860552347897207,-1.0848664461856459,1.2811116212981415,-1.7127369705210038,-0.40802198111868754,-0.09498735668518268,-0.6933697580465377,-0.5311538876376373,1.2491225154612537,1.2319088301805348,1.0618802264108427,-0.9958338448640676,0.7923471518389703,-0.2339862337740872,-0.4890955688316603,-1.1296073053219602,1.8772604180549957,-0.9796230038016226,-0.27469648750383807,0.2652357141267986,-1.4704828677790287,-0.0900392970104336,-0.7674396419905171,0.1215273641794448,-1.3062481806833044,-1.3471584927122102,-0.2220195560580356,-0.2263002984991699,https://www.skysports.com/football/arsenal-vs-wolverhampton-wanderers/465005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.620347545662271,1.5271787041164386
28th May 2023,4:30pm,h,"42,212",6,0.3660204895440844,5,-0.23549928162871192,-0.8158516332984731,0.8138800057418284,-0.2776978433839623,-0.6885364514246665,0.11086542876618548,-0.0167368433601402,-0.026442769900226554,-0.5036122118591755,-0.6933697580465377,-0.9724916659954408,-0.5924417730217778,0.6313573162597063,1.782013158063645,1.2641208661081362,-0.5172226243066277,-0.5954283835064172,-1.186929046263566,2.8820821902139735,-1.161976676527802,-3.2524281201693297,0.1344971041925507,-0.14319504109516545,0.14657546270466212,-0.0900392970104336,1.2828343262332285,1.526610479438744,1.984631213745352,1.780663669593125,-0.2220195560580356,-0.2263002984991699,https://www.skysports.com/football/aston-villa-vs-brighton-and-hove-albion/465006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6015197711727963,0.13052120791537247
28th May 2023,4:30pm,h,"17,120",8,-0.3698937222376724,0,-1.0465844207729162,-1.2735522184604555,1.2714630034865393,-0.45584952681542945,1.0949485249997406,-0.2792166354111332,-0.4407368751503561,-0.40802198111868754,0.7222623536628029,-0.30302826462774607,2.116872782509184,-0.054758769085126356,1.4775889949663277,0.3417472947580404,-0.24251560787333298,-0.8446150683430272,-0.2339862337740872,0.9065713860321511,-1.1296073053219602,0.5153744288368812,-1.6614645387119344,-0.07009969165564367,0.06102033651581656,-0.39244398078990145,-0.0900392970104336,0.4041454827087661,-0.7215225049761347,1.984631213745352,-1.3471584927122102,-0.2220195560580356,-0.2263002984991699,https://www.skysports.com/football/brentford-vs-manchester-city/465007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6766906985352439,-1.4164781430105886
28th May 2023,4:30pm,d,"40,130",11,-0.3698937222376724,3,-0.23549928162871192,1.0537388925326765,-1.0552302053848752,1.5038189909307096,0.3022885354777819,0.11086542876618548,-0.0167368433601402,1.4998740749736175,0.31363749848881006,1.648679202466212,0.3515216690779697,1.2356804403628383,0.5904106221287411,0.3417472947580404,0.5108026291174016,1.4471320399117693,-0.5954283835064172,0.20873790860024544,-0.4609923893993046,-1.161976676527802,-1.0971818891309868,0.34839375439748066,-0.3566929358702825,0.14657546270466212,0.9212395068505941,-0.47454336081569626,0.1215273641794448,-1.3062481806833044,-1.3471584927122102,-0.2220195560580356,-0.2263002984991699,https://www.skysports.com/football/chelsea-vs-newcastle-united/465008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1343944406089605,-0.6053930038663844
28th May 2023,4:30pm,d,"25,198",10,-0.3698937222376724,15,-0.23549928162871192,1.1778610851189764,-1.1793205098580175,0.25675720691043924,-0.8867014488051561,-0.6692986995884518,-0.0167368433601402,1.1182948637551564,-0.9122370670331682,0.08731322879104556,-0.9724916659954408,0.8055340372135167,-1.2385417157210514,-0.3783856368947619,-0.9958338448640676,-0.1898301802702282,-0.2339862337740872,0.20873790860024544,0.207622526523351,-1.3851105391680578,-0.33696776400109824,0.7017882199534521,-0.7094285881074326,0.14657546270466212,-0.5956786989409475,-0.47454336081569626,0.6835606102831645,-1.3062481806833044,0.21675258844045742,-0.2220195560580356,-0.2263002984991699,https://www.skysports.com/football/crystal-palace-vs-nottingham-forest/465009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1343944406089605,-0.6053930038663844
28th May 2023,4:30pm,h,"39,201",16,-0.3698937222376724,14,-1.0465844207729162,-1.0097925592145673,1.007771106481113,-0.09954615995249512,-0.8867014488051561,0.5009474929435042,-0.8647369069405719,-0.026442769900226554,-0.5036122118591755,-0.6933697580465377,-0.5311538876376373,-0.8881674251869365,0.6723040103906733,-1.0985185685475642,-0.9958338448640676,1.1197395958753698,-0.5954283835064172,-1.186929046263566,-0.4609923893993046,-0.615683426615451,0.10975600025048526,0.2832947739003277,-0.29171531572133347,-0.931463424284465,0.9212395068505941,0.11124920153394534,0.40254398723130463,-0.4835283320761403,0.9987081290167913,-0.2220195560580356,-0.2263002984991699,https://www.skysports.com/football/everton-vs-bournemouth/465010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6766906985352439,-1.4164781430105886
28th May 2023,4:30pm,a,"36,871",18,-0.3698937222376724,7,2.1977561358039015,0.09954953702549227,-0.1012859897475953,0.9693639406363079,-0.09404145928319743,-1.0593807637657704,1.2552632520105074,0.7367156525366955,-0.5036122118591755,2.429362189303795,-0.9724916659954408,-0.32360027105345207,-0.13298097418498292,-0.3783856368947619,1.2641208661081362,2.1019169279845684,-0.5954283835064172,-0.4890955688316603,-0.4609923893993046,-0.2694412259667779,-0.8385523414063852,0.34839375439748066,-0.3566929358702825,0.14657546270466212,-1.1013181008714614,-0.7674396419905171,-1.5645723741317141,1.1619113651381878,-1.3471584927122102,-0.2220195560580356,-0.2263002984991699,https://www.skysports.com/football/leeds-united-vs-tottenham-hotspur/465011,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.567649858041574,1.8278624135662291
28th May 2023,4:30pm,h,"32,183",17,0.3660204895440844,13,-0.23549928162871192,-0.20299830740361471,0.20118412740568858,-0.09954615995249512,0.896783527619251,-0.2792166354111332,-0.4407368751503561,0.3551364413182344,1.9481369191847813,-0.30302826462774607,0.3515216690779697,1.087817614280258,1.3274511164861216,0.3417472947580404,-0.24251560787333298,-0.8446150683430272,0.12745591595824288,0.20873790860024544,0.8762374424460067,0.4307374464560944,0.1489422953602733,1.6782729274107422,-1.6748103731775283,-0.39244398078990145,-0.5956786989409475,-0.7674396419905171,-0.15948925887241502,-0.4835283320761403,-0.5652029521358765,-0.2220195560580356,-0.2263002984991699,https://www.skysports.com/football/leicester-city-vs-west-ham-united/465012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6015197711727963,0.13052120791537247
28th May 2023,4:30pm,h,"32,183",2,0.3660204895440844,9,-0.23549928162871192,0.18488354442857385,-0.18659807407288062,1.3256673074992424,-0.2922064566636871,1.2811116212981415,-0.4407368751503561,0.7367156525366955,0.7222623536628029,0.8679962156286288,-0.9724916659954408,0.6039029107372724,0.6859529084343278,1.782013158063645,0.5108026291174016,-0.1898301802702282,-0.2339862337740872,-0.4890955688316603,-0.4609923893993046,1.6079609286615832,0.7680857580949251,-0.40489444849814327,0.39519095442469593,-0.39244398078990145,1.426878908781108,0.9899380450584077,-0.15948925887241502,-0.4835283320761403,0.21675258844045742,-0.2220195560580356,-0.2263002984991699,https://www.skysports.com/football/manchester-united-vs-fulham/465013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6015197711727963,0.13052120791537247
28th May 2023,4:30pm,d,"31,129",19,1.8378489131075981,4,2.1977561358039015,-1.5450695147429876,1.5429105445215379,0.25675720691043924,3.6710934909461064,2.0612757496527787,1.6792632838007233,-0.026442769900226554,2.7653866295327667,-1.474052744884121,3.4408861175825947,-0.6999783738091077,1.0817709517003287,-0.3783856368947619,2.7707573400896055,-1.1720075123794267,1.5732245148875632,-1.186929046263566,-1.1296073053219602,1.030890594247128,1.4185782569174066,0.34839375439748066,-0.3566929358702825,0.6855949061992257,1.426878908781108,-1.9390247666898002,-0.15948925887241502,-1.3062481806833044,0.21675258844045742,-0.2220195560580356,-0.2263002984991699,https://www.skysports.com/football/southampton-vs-liverpool/465014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3599072226963034,4.035605048911499
