%z(ft),GR(API),NPHI(.),RHOB(g/cc),CALI(in) 
12901.5,49.58,0.1024,2.5346,6.045
12901.0,87.36,0.1086,2.5458,6.038
12900.5,139.86,0.1473,2.5876,6.085
12900.0,170.51,0.2196,2.6390,6.093
12899.5,142.48,0.2291,2.6768,6.101
12899.0,84.67,0.1571,2.6691,6.083
12898.5,38.58,0.1186,2.6182,6.041
12898.0,21.85,0.1144,2.5298,6.030
12897.5,18.13,0.1171,2.4683,6.014
12897.0,14.73,0.1075,2.4436,6.022
12896.5,13.70,0.1047,2.4489,6.006
12896.0,17.09,0.0971,2.4634,6.022
12895.5,20.91,0.1021,2.4725,6.030
12895.0,23.90,0.1155,2.4720,5.990
12894.5,25.82,0.1201,2.4608,5.994
12894.0,23.47,0.1283,2.4486,6.000
12893.5,28.69,0.1296,2.4513,5.998
12893.0,35.69,0.1330,2.4562,5.998
12892.5,41.01,0.1163,2.4594,5.974
12892.0,39.33,0.1091,2.4627,5.974
12891.5,35.66,0.1096,2.4683,5.990
12891.0,32.29,0.1072,2.4757,5.976
12890.5,28.52,0.1085,2.4814,5.974
12890.0,23.82,0.1169,2.4808,5.976
12889.5,25.40,0.1148,2.4899,6.030
12889.0,38.08,0.1234,2.4977,6.014
12888.5,47.29,0.1362,2.5110,6.024
12888.0,46.92,0.1062,2.5153,6.012
12887.5,35.28,0.0853,2.5170,6.006
12887.0,28.31,0.0787,2.5189,6.018
12886.5,30.49,0.0923,2.5199,6.006
12886.0,36.61,0.0960,2.5159,6.006
12885.5,40.01,0.0990,2.4966,6.024
12885.0,38.65,0.0980,2.4706,6.022
12884.5,43.81,0.1064,2.4604,6.014
12884.0,61.47,0.1200,2.4783,6.006
12883.5,70.02,0.1171,2.5166,6.047
12883.0,65.80,0.0964,2.5467,6.045
12882.5,54.38,0.0773,2.5651,6.047
12882.0,52.86,0.0694,2.5718,6.047
12881.5,61.99,0.0754,2.5708,6.053
12881.0,71.42,0.0876,2.5576,6.061
12880.5,79.52,0.1057,2.5421,6.053
12880.0,79.12,0.1207,2.5326,6.053
12879.5,76.96,0.1217,2.5235,6.061
12879.0,71.52,0.1192,2.5107,6.006
12878.5,72.33,0.1171,2.4921,6.030
12878.0,64.73,0.1268,2.4760,6.024
12877.5,70.39,0.1402,2.4754,6.053
12877.0,67.03,0.1480,2.4842,6.059
12876.5,73.22,0.1455,2.5114,6.038
12876.0,72.21,0.1481,2.5307,6.038
12875.5,73.95,0.1327,2.5353,6.053
12875.0,68.24,0.1285,2.5261,6.069
12874.5,69.28,0.1250,2.5087,6.069
12874.0,69.01,0.1310,2.5120,6.038
12873.5,75.24,0.1470,2.5183,6.036
12873.0,72.90,0.1738,2.5276,6.093
12872.5,75.92,0.1621,2.5208,6.093
12872.0,72.35,0.1417,2.5179,6.085
12871.5,70.23,0.1277,2.5180,6.059
12871.0,69.51,0.1288,2.5292,6.045
12870.5,72.01,0.1372,2.5495,6.047
12870.0,76.34,0.1517,2.5791,6.030
12869.5,79.39,0.1561,2.5960,6.036
12869.0,80.15,0.1615,2.5991,6.041
12868.5,80.39,0.1595,2.6013,6.022
12868.0,78.14,0.1525,2.6124,6.006
12867.5,77.72,0.1563,2.6724,6.030
12867.0,75.50,0.1831,2.6996,6.022
12866.5,73.74,0.1891,2.6887,6.041
12866.0,72.85,0.1327,2.6240,6.036
12865.5,78.17,0.1047,2.5850,6.053
12865.0,77.43,0.0991,2.5879,6.041
12864.5,82.11,0.1335,2.6073,6.006
12864.0,94.31,0.1789,2.6320,6.030
12863.5,105.94,0.2096,2.6487,6.024
12863.0,113.88,0.1871,2.6473,6.014
12862.5,116.60,0.1747,2.6428,6.041
12862.0,139.38,0.1820,2.6604,6.014
12861.5,144.49,0.1851,2.7026,6.022
12861.0,133.20,0.1936,2.7842,6.077
12860.5,99.55,0.2076,2.8510,6.036
12860.0,74.80,0.2345,2.8125,6.045
12859.5,59.48,0.2136,2.6796,6.000
12859.0,55.19,0.1578,2.5280,5.990
12858.5,54.25,0.1347,2.4995,6.006
12858.0,53.38,0.1693,2.5319,5.994
12857.5,50.56,0.2068,2.5865,6.012
12857.0,47.98,0.2042,2.6096,5.998
12856.5,48.14,0.1777,2.6190,6.018
12856.0,48.65,0.2113,2.6407,6.012
12855.5,58.46,0.2476,2.6313,6.089
12855.0,82.38,0.2175,2.5986,6.093
12854.5,96.97,0.1451,2.5304,6.071
12854.0,102.74,0.1208,2.5059,6.053
12853.5,85.45,0.1468,2.5146,6.038
12853.0,67.10,0.1471,2.5264,6.077
12852.5,50.26,0.1370,2.5103,6.077
12852.0,40.59,0.1212,2.4867,6.061
12851.5,39.02,0.1195,2.4725,6.069
12851.0,38.70,0.1133,2.4587,6.045
12850.5,34.28,0.1159,2.4512,6.030
12850.0,32.09,0.1231,2.4438,6.024
12849.5,26.11,0.1177,2.4484,6.014
12849.0,24.11,0.1114,2.4501,6.022
12848.5,22.39,0.1111,2.4492,6.038
12848.0,22.21,0.1062,2.4459,6.024
12847.5,24.06,0.1033,2.4507,6.022
12847.0,23.59,0.1107,2.4583,6.022
12846.5,24.43,0.1215,2.4603,6.012
12846.0,25.52,0.1285,2.4556,6.006
12845.5,24.19,0.1304,2.4547,6.024
12845.0,22.49,0.1287,2.4562,6.014
12844.5,20.98,0.1290,2.4541,6.014
12844.0,19.46,0.1274,2.4525,6.006
12843.5,21.13,0.1352,2.4529,5.994
12843.0,22.22,0.1387,2.4648,5.998
12842.5,24.24,0.1543,2.4999,5.998
12842.0,26.11,0.2097,2.5557,6.006
12841.5,26.95,0.2776,2.5856,6.041
12841.0,25.79,0.2445,2.5734,6.059
12840.5,25.93,0.1860,2.5256,6.038
12840.0,23.75,0.1481,2.4980,6.014
12839.5,26.82,0.1379,2.4822,6.038
12839.0,25.79,0.1434,2.4770,6.030
12838.5,25.30,0.1681,2.4738,6.036
12838.0,25.80,0.1797,2.4689,6.030
12837.5,25.72,0.1708,2.4676,6.038
12837.0,25.04,0.1692,2.4683,6.030
12836.5,21.67,0.1630,2.4814,6.030
12836.0,19.23,0.1612,2.4926,6.038
12835.5,19.91,0.1553,2.4883,6.038
12835.0,23.94,0.1470,2.4792,6.030
12834.5,29.50,0.1461,2.4839,6.030
12834.0,34.87,0.1627,2.5161,6.014
12833.5,36.04,0.1974,2.5436,6.006
12833.0,34.44,0.2048,2.5406,6.053
12832.5,31.99,0.2083,2.4960,6.000
12832.0,31.13,0.1815,2.4442,5.982
12831.5,32.14,0.2033,2.4077,5.990
12831.0,33.16,0.1958,2.4030,5.998
12830.5,34.84,0.1997,2.4184,5.994
12830.0,51.27,0.1781,2.4524,5.970
12829.5,50.64,0.1856,2.4882,5.982
12829.0,50.12,0.1678,2.5091,5.982
12828.5,36.88,0.1418,2.5017,5.998
12828.0,34.06,0.1256,2.4772,5.990
12827.5,39.72,0.1381,2.4514,5.958
12827.0,47.60,0.1653,2.4392,5.950
12826.5,53.10,0.1816,2.4345,5.958
12826.0,44.19,0.1767,2.4362,5.974
12825.5,31.44,0.1723,2.4377,6.006
12825.0,26.60,0.1633,2.4372,6.030
12824.5,22.90,0.1745,2.4441,6.006
12824.0,21.44,0.1781,2.4533,6.045
12823.5,20.05,0.1886,2.4603,6.038
12823.0,22.59,0.2051,2.4568,6.045
12822.5,20.92,0.1876,2.4528,6.059
12822.0,19.40,0.1452,2.4538,6.061
12821.5,21.58,0.1173,2.4655,6.045
12821.0,22.26,0.1087,2.4809,6.053
12820.5,24.82,0.1097,2.4970,6.065
12820.0,26.42,0.1114,2.4998,6.059
12819.5,34.52,0.1074,2.4962,6.061
12819.0,38.60,0.0999,2.4862,6.069
12818.5,40.71,0.0967,2.4795,6.069
12818.0,38.72,0.0991,2.4692,6.053
12817.5,41.17,0.1002,2.4624,6.014
12817.0,40.71,0.1044,2.4631,6.038
12816.5,41.04,0.1016,2.4641,6.061
12816.0,39.68,0.0978,2.4616,6.061
12815.5,40.55,0.0938,2.4511,6.061
12815.0,40.87,0.1009,2.4430,6.053
12814.5,36.31,0.1020,2.4377,6.053
12814.0,35.08,0.0976,2.4351,6.038
12813.5,32.04,0.0985,2.4339,6.061
12813.0,38.27,0.1002,2.4351,6.053
12812.5,46.88,0.1051,2.4351,6.053
12812.0,46.59,0.1093,2.4347,6.059
12811.5,40.72,0.1225,2.4334,6.053
12811.0,26.70,0.1348,2.4335,6.045
12810.5,23.80,0.1375,2.4389,6.014
12810.0,21.19,0.1313,2.4434,5.974
12809.5,20.96,0.1325,2.4431,5.976
12809.0,20.98,0.1375,2.4359,6.000
12808.5,20.63,0.1443,2.4254,5.982
12808.0,21.38,0.1389,2.4263,5.990
12807.5,21.90,0.1381,2.4372,6.014
12807.0,24.79,0.1347,2.4485,6.038
12806.5,25.95,0.1249,2.4475,6.022
12806.0,29.82,0.1180,2.4401,6.014
12805.5,29.32,0.1230,2.4362,6.030
12805.0,29.79,0.1268,2.4331,6.006
12804.5,28.25,0.1315,2.4277,5.990
12804.0,33.49,0.1266,2.4263,5.994
12803.5,43.38,0.1247,2.4314,5.990
12803.0,52.00,0.1284,2.4408,6.006
12802.5,46.90,0.1292,2.4397,5.982
12802.0,37.36,0.1395,2.4337,5.982
12801.5,27.29,0.1449,2.4293,6.012
12801.0,25.19,0.1393,2.4375,6.000
12800.5,24.54,0.1336,2.4491,6.018
12800.0,26.74,0.1350,2.4502,6.024
12799.5,28.05,0.1298,2.4457,6.014
12799.0,24.52,0.1136,2.4469,6.022
12798.5,22.00,0.1083,2.4491,6.022
12798.0,19.14,0.1040,2.4502,6.012
12797.5,20.98,0.1130,2.4419,6.000
12797.0,19.44,0.1148,2.4403,5.966
12796.5,21.88,0.1115,2.4331,5.998
12796.0,22.21,0.1110,2.4288,5.982
12795.5,21.33,0.1213,2.4306,5.990
12795.0,20.65,0.1227,2.4376,5.982
12794.5,19.12,0.1219,2.4478,5.966
12794.0,20.69,0.1117,2.4598,5.982
12793.5,20.54,0.1004,2.4785,5.998
12793.0,21.29,0.1008,2.4942,5.974
12792.5,19.42,0.1169,2.4859,5.950
12792.0,20.44,0.1250,2.4676,5.958
12791.5,23.20,0.1280,2.4480,5.966
12791.0,26.88,0.1334,2.4405,5.958
12790.5,26.57,0.1207,2.4298,5.958
12790.0,29.51,0.1263,2.4230,6.014
12789.5,26.86,0.1309,2.4244,6.053
12789.0,25.57,0.1305,2.4327,6.085
12788.5,20.97,0.1172,2.4390,6.047
12788.0,21.97,0.1112,2.4369,6.036
12787.5,22.76,0.1121,2.4342,6.022
12787.0,24.11,0.1122,2.4333,6.030
12786.5,24.86,0.1148,2.4362,6.038
12786.0,26.52,0.1129,2.4438,6.022
12785.5,25.51,0.1106,2.4474,6.022
12785.0,28.31,0.1066,2.4484,6.024
12784.5,28.83,0.1106,2.4478,6.022
12784.0,28.73,0.1121,2.4440,6.014
12783.5,28.92,0.1115,2.4453,6.030
12783.0,28.06,0.1061,2.4463,6.022
12782.5,33.74,0.1052,2.4492,6.018
12782.0,34.58,0.1070,2.4475,6.014
12781.5,37.78,0.1117,2.4431,6.014
12781.0,36.05,0.1146,2.4455,6.014
12780.5,33.86,0.1170,2.4506,6.014
12780.0,33.23,0.1069,2.4557,5.998
12779.5,33.43,0.1100,2.4572,6.018
12779.0,35.91,0.1075,2.4630,5.990
12778.5,32.13,0.1078,2.4681,5.998
12778.0,25.92,0.1118,2.4740,6.014
12777.5,20.18,0.1142,2.4793,5.998
12777.0,18.87,0.1131,2.4820,6.014
12776.5,17.53,0.1053,2.4820,6.030
12776.0,19.04,0.0965,2.4734,6.014
12775.5,23.05,0.0997,2.4701,6.038
12775.0,33.17,0.0999,2.4807,6.041
12774.5,50.38,0.0991,2.5225,6.038
12774.0,61.78,0.1085,2.5690,6.045
12773.5,68.58,0.1127,2.5852,6.061
12773.0,70.03,0.1246,2.5807,6.047
12772.5,73.55,0.1081,2.5803,6.041
12772.0,69.88,0.1204,2.6137,6.053
12771.5,56.20,0.1040,2.6393,6.071
12771.0,44.87,0.1112,2.6412,6.069
12770.5,38.26,0.1059,2.6235,6.053
12770.0,34.13,0.1142,2.5937,6.071
12769.5,31.37,0.1139,2.5799,6.038
12769.0,30.70,0.1196,2.5669,6.022
12768.5,29.87,0.1213,2.5562,6.036
12768.0,27.32,0.1169,2.5383,6.014
12767.5,26.74,0.1155,2.5272,6.006
12767.0,25.89,0.1140,2.5212,6.000
12766.5,24.24,0.1100,2.5121,6.030
12766.0,22.91,0.1084,2.4920,6.012
12765.5,27.40,0.1182,2.4670,6.006
12765.0,29.94,0.1233,2.4529,6.006
12764.5,31.63,0.1171,2.4474,6.014
12764.0,28.78,0.1234,2.4505,5.990
12763.5,28.44,0.1249,2.4526,6.006
12763.0,28.41,0.1223,2.4541,5.982
12762.5,29.96,0.1156,2.4637,6.006
12762.0,32.49,0.1185,2.4627,5.998
12761.5,29.65,0.1300,2.4581,6.000
12761.0,28.63,0.1324,2.4438,5.990
12760.5,24.56,0.1249,2.4353,5.966
12760.0,25.23,0.1272,2.4278,5.974
12759.5,23.96,0.1320,2.4260,5.990
12759.0,27.66,0.1423,2.4347,5.990
12758.5,28.66,0.1543,2.4525,5.988
12758.0,32.49,0.1652,2.4636,6.014
12757.5,32.97,0.1547,2.4632,5.990
12757.0,38.05,0.1547,2.4528,6.012
12756.5,39.06,0.1479,2.4464,5.998
12756.0,41.43,0.1366,2.4367,6.006
12755.5,41.70,0.1391,2.4316,5.994
12755.0,42.42,0.1320,2.4322,6.014
12754.5,41.56,0.1352,2.4398,6.006
12754.0,38.25,0.1211,2.4444,6.012
12753.5,35.77,0.1280,2.4430,6.006
12753.0,30.58,0.1338,2.4350,6.030
12752.5,29.27,0.1282,2.4298,6.053
12752.0,26.82,0.1236,2.4240,6.038
12751.5,28.18,0.1249,2.4262,6.030
12751.0,26.15,0.1230,2.4309,6.030
12750.5,25.29,0.1187,2.4443,6.014
12750.0,25.78,0.1157,2.4539,6.018
12749.5,28.49,0.1116,2.4549,6.014
12749.0,29.67,0.1067,2.4448,6.012
12748.5,27.17,0.1046,2.4397,6.030
12748.0,24.27,0.1110,2.4448,6.014
12747.5,22.91,0.1098,2.4606,6.014
12747.0,23.78,0.1066,2.4799,5.982
12746.5,21.77,0.1057,2.5182,5.990
12746.0,19.45,0.1193,2.5711,6.030
12745.5,17.52,0.1116,2.6172,6.018
12745.0,18.36,0.1278,2.6282,6.012
12744.5,18.87,0.1520,2.6336,6.038
12744.0,17.00,0.1882,2.6960,6.022
12743.5,18.69,0.2172,2.7463,6.022
12743.0,20.58,0.2219,2.7553,6.038
12742.5,23.81,0.2044,2.7014,6.059
12742.0,27.50,0.2039,2.6778,6.045
12741.5,55.53,0.1865,2.6796,6.045
12741.0,106.55,0.1616,2.6806,6.038
12740.5,146.62,0.1538,2.6702,6.053
12740.0,154.16,0.1743,2.6649,6.045
12739.5,134.92,0.1694,2.6959,6.038
12739.0,101.95,0.1511,2.7273,6.030
12738.5,76.46,0.1398,2.7496,6.030
12738.0,54.04,0.1283,2.7032,6.022
12737.5,49.82,0.1094,2.6354,6.000
12737.0,48.62,0.1154,2.5693,5.990
12736.5,51.76,0.1195,2.5445,6.038
12736.0,53.61,0.1326,2.5471,6.030
12735.5,58.24,0.1158,2.5613,5.990
12735.0,80.26,0.1370,2.5904,5.998
12734.5,113.56,0.1749,2.6404,5.994
12734.0,148.51,0.2470,2.7295,6.030
12733.5,144.61,0.2182,2.8256,6.069
12733.0,102.60,0.1657,2.9025,6.077
12732.5,54.80,0.1358,2.8993,6.095
12732.0,24.37,0.1299,2.7541,6.109
12731.5,30.34,0.1318,2.5906,6.093
12731.0,29.76,0.1270,2.4595,6.045
12730.5,30.77,0.1257,2.4434,6.045
12730.0,26.48,0.1347,2.4449,6.036
12729.5,24.92,0.1338,2.4426,6.006
12729.0,25.44,0.1296,2.4477,6.018
12728.5,23.05,0.1294,2.4455,5.988
12728.0,23.71,0.1294,2.4452,5.974
12727.5,21.18,0.1238,2.4397,5.966
12727.0,19.50,0.1320,2.4287,5.990
12726.5,21.38,0.1477,2.4238,6.014
12726.0,21.19,0.1614,2.4200,5.994
12725.5,23.24,0.1688,2.4265,6.000
12725.0,22.39,0.1708,2.4321,5.998
12724.5,34.73,0.1676,2.4457,5.990
12724.0,55.77,0.1619,2.4549,5.998
12723.5,73.30,0.1635,2.4602,5.998
12723.0,77.63,0.1677,2.4600,6.006
12722.5,68.19,0.1594,2.4663,6.006
12722.0,64.63,0.1436,2.4698,5.998
12721.5,65.10,0.1511,2.4684,5.988
12721.0,68.34,0.1474,2.4599,5.990
12720.5,70.31,0.1365,2.4575,5.982
12720.0,64.13,0.1368,2.4537,5.990
12719.5,58.50,0.1429,2.4559,6.012
12719.0,50.75,0.1477,2.4512,6.012
12718.5,56.63,0.1490,2.4646,6.006
12718.0,52.90,0.1406,2.4933,6.014
12717.5,53.46,0.1511,2.5307,6.036
12717.0,46.62,0.1443,2.5482,6.069
12716.5,48.59,0.1371,2.5318,6.045
12716.0,46.53,0.1262,2.5132,6.022
12715.5,43.27,0.1287,2.4945,6.030
12715.0,41.57,0.1351,2.4796,6.022
12714.5,39.56,0.1476,2.4694,6.030
12714.0,40.58,0.1472,2.4625,6.006
12713.5,40.04,0.1425,2.4702,5.982
12713.0,36.85,0.1438,2.4653,5.990
12712.5,32.00,0.1447,2.4597,6.006
12712.0,28.12,0.1376,2.4520,6.006
12711.5,27.61,0.1317,2.4484,5.998
12711.0,28.09,0.1340,2.4436,5.974
12710.5,27.59,0.1516,2.4379,5.982
12710.0,27.25,0.1554,2.4318,5.974
12709.5,25.58,0.1653,2.4328,5.990
12709.0,26.78,0.1647,2.4427,6.006
12708.5,26.28,0.1630,2.4537,6.014
12708.0,26.61,0.1419,2.4524,6.006
12707.5,29.66,0.1329,2.4441,6.014
12707.0,31.33,0.1294,2.4370,6.006
12706.5,31.67,0.1408,2.4377,6.006
12706.0,27.45,0.1378,2.4407,6.006
12705.5,26.46,0.1450,2.4396,6.014
12705.0,25.63,0.1316,2.4443,6.030
12704.5,26.78,0.1364,2.4469,6.012
12704.0,42.65,0.1278,2.4574,6.022
12703.5,55.09,0.1220,2.4710,6.014
12703.0,55.61,0.1175,2.4762,6.014
12702.5,42.61,0.1235,2.4708,6.012
12702.0,43.86,0.1286,2.4589,6.022
12701.5,38.79,0.1230,2.4540,6.014
12701.0,38.42,0.1255,2.4561,5.998
12700.5,29.33,0.1313,2.4573,6.022
12700.0,39.27,0.1319,2.4592,6.022
12699.5,46.90,0.1293,2.4626,5.994
12699.0,48.73,0.1369,2.4576,5.990
12698.5,49.28,0.1181,2.4561,6.006
12698.0,43.97,0.1218,2.4544,6.000
12697.5,41.94,0.1117,2.4617,5.998
12697.0,41.06,0.1064,2.4613,5.976
12696.5,40.05,0.1036,2.4586,5.990
12696.0,44.24,0.1081,2.4536,5.990
12695.5,43.57,0.1158,2.4473,5.990
12695.0,47.29,0.1171,2.4476,5.998
12694.5,50.28,0.1226,2.4450,5.982
12694.0,50.92,0.1266,2.4420,5.970
12693.5,54.29,0.1294,2.4267,5.974
12693.0,46.08,0.1267,2.4227,5.974
12692.5,47.02,0.1350,2.4241,5.982
12692.0,48.50,0.1440,2.4334,5.970
12691.5,68.90,0.1451,2.4598,5.982
12691.0,104.74,0.1292,2.5245,5.998
12690.5,125.43,0.1323,2.6030,6.024
12690.0,155.05,0.1500,2.6719,6.069
12689.5,168.86,0.1821,2.7239,6.053
12689.0,167.00,0.1833,2.7631,6.053
12688.5,126.05,0.2194,2.7472,6.006
12688.0,70.18,0.2482,2.6557,6.030
12687.5,37.92,0.2255,2.5440,5.990
12687.0,25.50,0.1655,2.4703,6.014
12686.5,24.80,0.1432,2.4525,6.038
12686.0,24.43,0.1504,2.4429,6.014
12685.5,26.65,0.1488,2.4402,6.038
12685.0,26.95,0.1622,2.4320,6.006
12684.5,30.01,0.1626,2.4405,6.030
12684.0,32.96,0.1578,2.4490,6.014
12683.5,44.99,0.1428,2.4835,6.045
12683.0,70.27,0.1376,2.5433,6.038
12682.5,94.00,0.1408,2.5942,6.045
12682.0,99.76,0.1464,2.6045,6.061
12681.5,78.69,0.1475,2.5642,6.069
12681.0,64.28,0.1455,2.5229,6.061
12680.5,57.94,0.1429,2.4779,6.030
12680.0,65.00,0.1394,2.4506,6.024
12679.5,63.72,0.1624,2.4377,5.990
12679.0,59.61,0.1823,2.4486,6.006
12678.5,53.58,0.2030,2.4515,5.982
12678.0,47.43,0.1876,2.4457,6.014
12677.5,46.53,0.1771,2.4383,5.990
12677.0,46.94,0.1762,2.4375,5.988
12676.5,44.85,0.1744,2.4363,5.990
12676.0,41.64,0.1734,2.4342,5.982
12675.5,38.33,0.1777,2.4385,6.012
12675.0,35.53,0.1755,2.4413,5.998
12674.5,36.54,0.1951,2.4434,6.014
12674.0,44.05,0.1870,2.4422,5.982
12673.5,62.97,0.1907,2.4465,6.006
12673.0,76.74,0.1777,2.4447,5.990
12672.5,72.70,0.1737,2.4379,5.994
12672.0,55.54,0.1810,2.4291,6.006
12671.5,39.19,0.1830,2.4259,5.990
12671.0,35.25,0.1884,2.4271,6.014
12670.5,39.63,0.1876,2.4305,6.014
12670.0,43.02,0.1909,2.4376,6.022
12669.5,41.40,0.1847,2.4350,5.990
12669.0,38.23,0.1781,2.4295,6.000
12668.5,34.34,0.2052,2.4314,5.998
12668.0,35.35,0.1835,2.4511,6.006
12667.5,33.66,0.1705,2.4729,6.006
12667.0,35.14,0.1360,2.4735,5.982
12666.5,34.04,0.1309,2.4708,6.006
12666.0,33.02,0.1266,2.4587,5.998
12665.5,31.50,0.1328,2.4539,5.998
12665.0,33.79,0.1390,2.4422,6.006
12664.5,34.78,0.1358,2.4435,5.994
12664.0,35.31,0.1408,2.4448,6.006
12663.5,32.83,0.1465,2.4472,5.998
12663.0,30.97,0.1576,2.4354,5.998
12662.5,29.29,0.1485,2.4374,5.998
12662.0,28.12,0.1511,2.4363,5.998
12661.5,26.27,0.1467,2.4425,6.006
12661.0,26.28,0.1453,2.4403,6.014
12660.5,26.44,0.1409,2.4415,6.006
12660.0,28.80,0.1481,2.4484,6.006
12659.5,27.11,0.1424,2.4583,5.998
12659.0,27.45,0.1487,2.4665,6.006
12658.5,23.25,0.1446,2.4716,6.014
12658.0,24.10,0.1492,2.4745,6.018
12657.5,24.00,0.1407,2.4772,6.006
12657.0,27.20,0.1631,2.4669,6.006
12656.5,25.68,0.1668,2.4565,6.006
12656.0,24.28,0.1684,2.4518,6.030
12655.5,21.80,0.1533,2.4504,6.077
12655.0,19.28,0.1577,2.4490,6.093
12654.5,16.51,0.1703,2.4602,6.059
12654.0,16.65,0.1679,2.4860,6.030
12653.5,18.69,0.1792,2.4902,6.053
12653.0,21.28,0.1906,2.4771,6.061
12652.5,24.00,0.2020,2.4596,6.061
12652.0,25.79,0.1939,2.4622,6.006
12651.5,25.46,0.1914,2.4617,6.014
12651.0,27.90,0.1837,2.4553,5.998
12650.5,29.59,0.1833,2.4533,5.998
12650.0,29.45,0.1745,2.4505,6.022
12649.5,25.95,0.1761,2.4463,6.022
12649.0,23.77,0.1817,2.4329,6.006
12648.5,22.29,0.1817,2.4230,6.041
12648.0,22.46,0.1881,2.4183,6.045
12647.5,21.08,0.1916,2.4275,6.030
12647.0,21.68,0.1931,2.4444,6.038
12646.5,21.16,0.2400,2.4623,6.030
12646.0,21.64,0.1898,2.4680,6.006
12645.5,20.72,0.1405,2.4711,6.006
12645.0,19.45,0.0996,2.4743,6.022
12644.5,20.63,0.0956,2.4760,6.024
12644.0,19.30,0.0892,2.4721,6.045
12643.5,20.22,0.0931,2.4670,6.018
12643.0,21.07,0.0927,2.4642,6.022
12642.5,23.60,0.0918,2.4672,6.022
12642.0,22.83,0.0891,2.4686,6.014
12641.5,22.85,0.0901,2.4710,6.036
12641.0,21.65,0.0861,2.4693,6.022
12640.5,21.90,0.0869,2.4679,6.018
12640.0,19.23,0.0880,2.4709,6.014
12639.5,20.42,0.0873,2.4848,6.022
12639.0,21.76,0.0859,2.4959,6.014
12638.5,25.96,0.0968,2.4982,6.030
12638.0,30.02,0.1130,2.4884,6.030
12637.5,32.19,0.1182,2.5048,6.022
12637.0,31.83,0.1237,2.5211,6.006
12636.5,27.47,0.1227,2.5296,6.022
12636.0,26.72,0.1146,2.5076,6.024
12635.5,25.69,0.1044,2.4753,6.014
12635.0,29.40,0.1058,2.4584,6.014
12634.5,32.68,0.1004,2.4577,6.012
12634.0,41.77,0.1099,2.4693,6.006
12633.5,48.34,0.1143,2.4685,6.006
12633.0,43.44,0.1221,2.4557,6.000
12632.5,39.11,0.1187,2.4477,6.014
12632.0,30.82,0.1347,2.4438,5.990
12631.5,32.00,0.1374,2.4442,5.990
12631.0,29.40,0.1354,2.4399,6.030
12630.5,37.13,0.1239,2.4432,6.018
12630.0,47.54,0.1246,2.4488,5.998
12629.5,49.14,0.1106,2.4546,5.990
12629.0,40.65,0.1033,2.4512,6.014
12628.5,31.39,0.1024,2.4431,6.018
12628.0,30.88,0.1141,2.4403,6.018
12627.5,35.71,0.1150,2.4435,6.006
12627.0,32.31,0.1218,2.4393,6.014
12626.5,28.12,0.1306,2.4369,6.030
12626.0,23.07,0.1427,2.4465,6.041
12625.5,27.22,0.1290,2.4612,6.024
12625.0,28.05,0.1231,2.4680,6.014
12624.5,30.06,0.1179,2.4677,6.006
12624.0,28.17,0.1143,2.4631,6.038
12623.5,29.84,0.1144,2.4568,6.024
12623.0,30.83,0.1201,2.4512,6.014
12622.5,31.49,0.1230,2.4681,6.006
12622.0,36.01,0.0965,2.4911,5.990
12621.5,39.29,0.0871,2.5153,6.006
12621.0,40.62,0.0732,2.5255,5.998
12620.5,34.87,0.0855,2.5164,5.982
12620.0,31.10,0.1116,2.4870,5.998
12619.5,28.36,0.1342,2.4538,5.958
12619.0,26.01,0.1311,2.4381,5.966
12618.5,22.35,0.1325,2.4322,5.950
12618.0,21.56,0.1383,2.4231,5.966
12617.5,22.89,0.1547,2.4353,5.958
12617.0,22.73,0.1503,2.4753,5.926
12616.5,21.69,0.1318,2.5266,5.934
12616.0,21.01,0.1240,2.5592,5.918
12615.5,20.97,0.1261,2.5572,5.918
12615.0,19.38,0.1232,2.5305,5.926
12614.5,17.06,0.1249,2.4902,5.958
12614.0,19.90,0.1192,2.4553,5.946
12613.5,19.84,0.1248,2.4380,5.966
12613.0,20.33,0.1177,2.4390,5.974
12612.5,20.00,0.1017,2.4631,5.982
12612.0,27.07,0.0939,2.4984,5.988
12611.5,57.26,0.1276,2.5521,6.012
12611.0,99.53,0.1980,2.6417,6.018
12610.5,115.36,0.2259,2.7597,5.982
12610.0,92.86,0.1603,2.7638,6.038
12609.5,49.46,0.1130,2.6664,6.069
12609.0,27.65,0.0945,2.5267,6.061
12608.5,20.42,0.0956,2.4780,6.053
12608.0,20.62,0.0991,2.4719,6.077
12607.5,20.08,0.1046,2.4741,6.047
12607.0,18.89,0.1038,2.4702,6.030
12606.5,17.72,0.1012,2.4629,6.053
12606.0,20.95,0.0946,2.4540,6.045
12605.5,23.83,0.0923,2.4546,6.059
12605.0,24.85,0.0896,2.4673,6.069
12604.5,23.96,0.0957,2.4776,6.047
12604.0,26.27,0.0973,2.4878,6.053
12603.5,28.29,0.1012,2.4866,6.047
12603.0,27.44,0.0968,2.4825,6.047
12602.5,30.47,0.0904,2.4824,6.041
12602.0,42.80,0.0837,2.4769,6.045
12601.5,48.91,0.0906,2.4641,6.061
12601.0,49.91,0.1110,2.4458,6.083
12600.5,38.62,0.1285,2.4382,6.012
12600.0,32.74,0.1311,2.4415,6.018
12599.5,30.13,0.1301,2.4395,5.998
12599.0,30.35,0.1298,2.4378,5.990
12598.5,31.20,0.1312,2.4364,5.994
